Currency,Date,Buy Rate,Sell Rate
EUR,9/3/2024,324.262,337.8741
EUR,9/2/2024,323.9709,337.5526
EUR,8/30/2024,325.4653,339.0292
EUR,8/29/2024,327.6753,341.3898
EUR,8/28/2024,328.6486,342.5084
EUR,8/27/2024,329.2973,342.9621
EUR,8/26/2024,328.712,342.578
EUR,8/23/2024,328.0644,341.9167
EUR,8/22/2024,327.8168,341.5718
EUR,8/21/2024,326.533,340.2024
EUR,8/20/2024,324.326,338.0242
EUR,8/16/2024,321.4225,335.0301
EUR,8/15/2024,322.5294,336.1443
EUR,8/14/2024,322.183,335.6298
EUR,8/13/2024,321.0132,334.4846
EUR,8/12/2024,320.9378,334.3325
EUR,8/9/2024,321.8946,335.335
EUR,8/8/2024,322.862,336.457
EUR,8/7/2024,322.9382,336.5882
EUR,8/6/2024,324.3394,337.9728
EUR,8/5/2024,322.8712,336.5495
EUR,8/2/2024,319.4091,332.971
EUR,8/1/2024,320.7654,334.2646
EUR,7/31/2024,320.7613,334.2902
EUR,7/30/2024,320.6294,334.3416
EUR,7/29/2024,322.4278,336.1884
EUR,7/26/2024,322.4882,336.0932
EUR,7/25/2024,322.1888,335.9352
EUR,7/24/2024,322.5185,336.1132
EUR,7/23/2024,324.0571,337.8258
EUR,7/22/2024,323.7881,337.4667
EUR,7/19/2024,324.0715,337.8902
EUR,7/18/2024,325.3646,339.0362
EUR,7/17/2024,324.3029,338.0322
EUR,7/16/2024,322.5521,336.1785
EUR,7/15/2024,321.7422,335.4522
EUR,7/12/2024,322.3242,335.901
EUR,7/11/2024,322.3798,335.9088
EUR,7/10/2024,321.7831,335.4735
EUR,7/9/2024,322.8014,336.2069
EUR,7/8/2024,323.1201,336.6431
EUR,7/5/2024,322.861,336.3874
EUR,7/4/2024,321.6179,334.968
EUR,7/3/2024,319.255,332.7333
EUR,7/2/2024,320.6922,334.1906
EUR,7/1/2024,322.155,335.7676
EUR,6/28/2024,320.1588,333.5366
EUR,6/27/2024,319.7198,332.9585
EUR,6/26/2024,320.1049,333.6987
EUR,6/25/2024,320.9898,334.3594
EUR,6/24/2024,319.6618,333.0642
EUR,6/20/2024,321.2342,334.8029
EUR,6/19/2024,321.0035,334.2302
EUR,6/18/2024,319.2397,332.6657
EUR,6/14/2024,319.6217,332.9865
EUR,6/13/2024,321.4858,335.001
EUR,6/12/2024,319.3061,332.7184
EUR,6/11/2024,319.6631,333.2459
EUR,6/10/2024,319.0837,332.7185
EUR,6/7/2024,322.8396,336.5399
EUR,6/6/2024,322.3884,335.9957
EUR,6/5/2024,321.8154,335.5379
EUR,6/4/2024,322.6224,336.2221
EUR,6/3/2024,320.8505,334.4279
EUR,5/31/2024,319.7445,333.1566
EUR,5/30/2024,319.1283,332.5222
EUR,5/29/2024,320.2219,333.965
EUR,5/28/2024,320.2,333.6281
EUR,5/27/2024,318.9939,332.4872
EUR,5/22/2024,318.6627,332.1386
EUR,5/21/2024,318.5517,332.0384
EUR,5/20/2024,319.3947,332.814
EUR,5/17/2024,319.4849,333.051
EUR,5/16/2024,322.2197,335.7786
EUR,5/15/2024,319.5671,333.3048
EUR,5/14/2024,317.2631,330.9077
EUR,5/13/2024,315.0856,328.6393
EUR,5/10/2024,315.1261,328.3523
EUR,5/9/2024,314.4802,327.6539
EUR,5/8/2024,314.5227,327.9469
EUR,5/7/2024,314.6081,327.8162
EUR,5/6/2024,313.281,326.7181
EUR,5/3/2024,312.2567,325.5595
EUR,5/2/2024,312.1023,325.655
EUR,4/30/2024,312.4107,325.7999
EUR,4/29/2024,310.9302,324.1815
EUR,4/26/2024,311.2527,324.7033
EUR,4/25/2024,311.9819,325.4759
EUR,4/24/2024,314.9544,328.3713
EUR,4/22/2024,315.2655,328.5977
EUR,4/19/2024,313.7489,327.2618
EUR,4/18/2024,315.334,328.8218
EUR,4/17/2024,312.5204,325.8345
EUR,4/16/2024,310.5028,323.8933
EUR,4/15/2024,311.1043,324.7733
EUR,4/10/2024,317.3213,330.7221
EUR,4/9/2024,317.5971,331.1643
EUR,4/8/2024,317.3628,331.0309
EUR,4/5/2024,317.598,331.1885
EUR,4/4/2024,318.2104,331.8435
EUR,4/3/2024,316.4844,329.9406
EUR,4/2/2024,315.3217,328.7414
EUR,4/1/2024,317.1171,330.8712
EUR,3/28/2024,318.3163,332.1141
EUR,3/27/2024,319.6049,333.1704
EUR,3/26/2024,321.1037,334.6164
EUR,3/25/2024,321.2131,334.8584
EUR,3/22/2024,322.5601,336.2105
EUR,3/21/2024,325.51,339.2003
EUR,3/20/2024,323.5362,337.2115
EUR,3/19/2024,323.8367,337.4651
EUR,3/18/2024,325.0276,338.7375
EUR,3/15/2024,325.3106,338.9997
EUR,3/14/2024,327.8357,341.5038
EUR,3/13/2024,328.355,341.5691
EUR,3/12/2024,329.0169,342.1652
EUR,3/11/2024,329.7094,342.9476
EUR,3/7/2024,328.7412,342.1725
EUR,3/6/2024,326.9885,340.8921
EUR,3/5/2024,327.2071,341.043
EUR,3/4/2024,327.5391,341.3629
EUR,3/1/2024,327.6677,341.7333
EUR,2/29/2024,328.7998,342.923
EUR,2/28/2024,329.2389,343.3195
EUR,2/27/2024,330.3174,344.3762
EUR,2/26/2024,329.2361,343.459
EUR,2/22/2024,329.8568,344.0649
EUR,2/21/2024,330.3238,344.4463
EUR,2/20/2024,329.1693,343.1934
EUR,2/19/2024,329.629,343.8122
EUR,2/16/2024,329.5695,343.8727
EUR,2/15/2024,329.2132,342.9055
EUR,2/14/2024,328.7629,342.4972
EUR,2/13/2024,330.6448,344.3558
EUR,2/12/2024,331.0515,344.941
EUR,2/9/2024,330.765,344.6668
EUR,2/8/2024,331.1989,345.0007
EUR,2/7/2024,330.6979,344.6157
EUR,2/6/2024,329.2235,343.1568
EUR,2/5/2024,330.2393,344.2443
EUR,2/2/2024,332.0271,346.2817
EUR,2/1/2024,334.1164,348.2562
EUR,1/31/2024,336.049,350.0412
EUR,1/30/2024,337.2285,351.2936
EUR,1/29/2024,337.4777,351.5591
EUR,1/26/2024,338.0404,352.0374
EUR,1/24/2024,340.5948,354.4106
EUR,1/23/2024,341.6349,355.534
EUR,1/22/2024,342.2973,356.3426
EUR,1/19/2024,342.4556,356.4514
EUR,1/18/2024,342.5824,356.7391
EUR,1/17/2024,342.5972,356.7755
EUR,1/16/2024,344.8572,358.9896
EUR,1/12/2024,347.1464,361.4096
EUR,1/11/2024,347.5535,361.6593
EUR,1/10/2024,345.7627,360.0472
EUR,1/9/2024,346.7355,360.8138
EUR,1/8/2024,345.8823,360.1735
EUR,1/5/2024,346.1606,360.3632
EUR,1/4/2024,345.5618,359.6961
EUR,1/3/2024,345.5459,359.7627
EUR,1/2/2024,346.9295,361.9076
EUR,1/1/2024,350.4635,364.7561
EUR,12/29/2023,351.4885,365.8211
EUR,12/28/2023,352.9582,367.4052
EUR,12/27/2023,351.9191,366.0778
EUR,12/22/2023,351.7235,366.0291
EUR,12/21/2023,350.6477,364.722
EUR,12/20/2023,351.611,365.7011
EUR,12/19/2023,349.9744,364.1641
EUR,12/18/2023,349.4821,363.5874
EUR,12/15/2023,352.289,366.4483
EUR,12/14/2023,349.3148,363.4613
EUR,12/13/2023,345.579,359.8175
EUR,12/12/2023,345.2839,359.5863
EUR,12/11/2023,344.9861,359.4057
EUR,12/8/2023,345.6837,359.8993
EUR,12/7/2023,344.8753,359.2923
EUR,12/6/2023,346.8106,361.1269
EUR,12/5/2023,348.6701,363.1071
EUR,12/4/2023,349.621,364.0347
EUR,12/1/2023,350.5644,365.154
EUR,11/30/2023,353.0917,367.6256
EUR,11/29/2023,355.1689,369.7727
EUR,11/28/2023,353.5767,368.0707
EUR,11/27/2023,352.4513,367.1659
EUR,11/24/2023,351.0511,365.7237
EUR,11/23/2023,351.1005,365.6865
EUR,11/22/2023,351.5514,366.1088
EUR,11/21/2023,352.3727,366.9245
EUR,11/20/2023,350.8308,365.8129
EUR,11/17/2023,348.7569,363.8806
EUR,11/16/2023,348.7568,363.5643
EUR,11/15/2023,349.1896,364.1841
EUR,11/14/2023,342.4773,357.4613
EUR,11/13/2023,342.2119,357.2215
EUR,11/10/2023,342.3321,357.2417
EUR,11/9/2023,344.5081,359.2697
EUR,11/8/2023,343.0363,357.8805
EUR,11/7/2023,342.7388,357.6525
EUR,11/6/2023,346.0475,360.9021
EUR,11/3/2023,342.298,357.114
EUR,11/2/2023,340.6046,355.0497
EUR,11/1/2023,339.2346,353.7796
EUR,10/31/2023,339.945,354.569
EUR,10/30/2023,338.4374,352.9368
EUR,10/27/2023,337.889,352.682
EUR,10/26/2023,337.4121,352.1192
EUR,10/25/2023,339.7511,354.449
EUR,10/24/2023,341.0656,356.0557
EUR,10/23/2023,337.2677,352.2671
EUR,10/20/2023,336.5467,351.5411
EUR,10/19/2023,334.7521,349.5133
EUR,10/18/2023,335.5314,350.6119
EUR,10/17/2023,334.398,349.322
EUR,10/16/2023,333.0466,348.4784
EUR,10/13/2023,333.8155,348.8747
EUR,10/12/2023,336.5029,351.5075
EUR,10/11/2023,335.8812,350.8476
EUR,10/10/2023,334.4937,349.333
EUR,10/9/2023,334.6182,349.4789
EUR,10/6/2023,334.0291,348.9973
EUR,10/5/2023,333.3591,348.3054
EUR,10/4/2023,331.3217,346.2563
EUR,10/3/2023,331.8928,346.79
EUR,10/2/2023,334.9209,349.949
EUR,9/27/2023,334.5254,349.5066
EUR,9/26/2023,335.7917,350.9559
EUR,9/25/2023,337.8544,353.0313
EUR,9/22/2023,337.4686,352.8462
EUR,9/21/2023,337.7531,353.0738
EUR,9/20/2023,338.9876,354.6579
EUR,9/19/2023,338.6503,354.3157
EUR,9/18/2023,337.1925,352.8325
EUR,9/15/2023,336.4764,352.1372
EUR,9/14/2023,340.1677,356.1193
EUR,9/13/2023,338.968,354.879
EUR,9/12/2023,338.5441,354.4525
EUR,9/11/2023,337.4802,353.4145
EUR,9/8/2023,337.5267,353.6961
EUR,9/7/2023,337.345,354.2402
EUR,9/6/2023,337.3176,353.4753
EUR,9/5/2023,338.1376,354.3514
EUR,9/4/2023,337.049,353.2573
EUR,9/1/2023,339.082,355.2288
EUR,8/31/2023,342.6382,358.9868
EUR,8/29/2023,342.8394,358.9505
EUR,8/28/2023,341.9833,358.1514
EUR,8/25/2023,341.4455,357.4611
EUR,8/24/2023,343.4827,360.0968
EUR,8/23/2023,343.2933,359.9608
EUR,8/22/2023,344.6288,361.3377
EUR,8/21/2023,343.2621,359.9156
EUR,8/18/2023,343.3219,360.1324
EUR,8/17/2023,340.819,357.715
EUR,8/16/2023,341.5449,358.6229
EUR,8/15/2023,342.2456,359.2925
EUR,8/14/2023,341.8135,359.1276
EUR,8/11/2023,343.5518,360.8008
EUR,8/10/2023,343.0285,360.2568
EUR,8/9/2023,343.3976,360.5729
EUR,8/8/2023,344.9888,362.6391
EUR,8/7/2023,345.3689,363.1197
EUR,8/4/2023,341.2873,358.8861
EUR,8/3/2023,335.1872,353.8639
EUR,8/2/2023,338.7341,356.1942
EUR,7/31/2023,354.1359,370.9848
EUR,7/28/2023,353.4114,370.2678
EUR,7/27/2023,357.1091,374.1763
EUR,7/26/2023,356.4829,373.808
EUR,7/25/2023,356.3336,374.2907
EUR,7/24/2023,356.5076,374.2506
EUR,7/21/2023,353.9607,371.5511
EUR,7/20/2023,354.4659,372.1704
EUR,7/19/2023,353.4656,370.829
EUR,7/18/2023,353.1843,371.1703
EUR,7/17/2023,350.9697,368.784
EUR,7/14/2023,347.6261,366.0649
EUR,7/13/2023,341.9239,360.2418
EUR,7/12/2023,337.011,355.0798
EUR,7/11/2023,335.0428,353.1223
EUR,7/10/2023,331.6056,350.037
EUR,7/7/2023,328.2758,346.6968
EUR,7/6/2023,324.4139,343.1959
EUR,7/5/2023,324.4317,342.9584
EUR,7/4/2023,326.2716,344.97
EUR,6/28/2023,328.7852,347.5262
EUR,6/27/2023,328.4622,346.8894
EUR,6/26/2023,325.9044,344.7178
EUR,6/23/2023,326.1043,345.1566
EUR,6/22/2023,327.0445,346.8606
EUR,6/21/2023,324.4547,344.5365
EUR,6/20/2023,323.8327,344.8839
EUR,6/19/2023,324.0691,345.7238
EUR,6/16/2023,328.3407,351.0182
EUR,6/15/2023,335.9432,356.9234
EUR,6/14/2023,325.7842,345.3423
EUR,6/13/2023,316.3531,334.7591
EUR,6/12/2023,310.6194,327.3725
EUR,6/9/2023,309.689,326.1485
EUR,6/8/2023,304.719,321.6396
EUR,6/7/2023,303.6215,320.6391
EUR,6/6/2023,303.9065,320.887
EUR,6/5/2023,304.1967,321.0999
EUR,6/2/2023,308.0033,324.7492
EUR,6/1/2023,302.2424,319.3626
EUR,5/31/2023,306.7422,323.7015
EUR,5/30/2023,309.9647,326.8542
EUR,5/29/2023,310.0947,326.8142
EUR,5/26/2023,315.4899,332.9832
EUR,5/25/2023,318.4855,335.4066
EUR,5/24/2023,319.8722,336.8965
EUR,5/23/2023,321.8655,339.2152
EUR,5/22/2023,323.2367,340.7976
EUR,5/19/2023,322.4615,339.7672
EUR,5/18/2023,323.3302,340.2989
EUR,5/17/2023,327.4661,345.1132
EUR,5/16/2023,330.8848,348.5502
EUR,5/15/2023,331.3943,349.2974
EUR,5/12/2023,333.3858,351.1345
EUR,5/11/2023,337.6695,355.9612
EUR,5/10/2023,340.0875,358.0975
EUR,5/9/2023,341.1064,359.132
EUR,5/8/2023,343.5567,361.7984
EUR,5/4/2023,345.4091,363.703
EUR,5/3/2023,344.3821,362.9363
EUR,5/2/2023,343.8195,362.4796
EUR,4/28/2023,344.9998,363.6566
EUR,4/27/2023,345.9809,364.7276
EUR,4/26/2023,343.3733,362.2232
EUR,4/25/2023,345.7907,364.5059
EUR,4/24/2023,343.3922,362.3782
EUR,4/21/2023,342.623,361.676
EUR,4/20/2023,342.1609,361.1187
EUR,4/19/2023,342.3124,361.2854
EUR,4/18/2023,340.6283,359.7534
EUR,4/17/2023,341.2018,360.4612
EUR,4/12/2023,339.2251,358.5823
EUR,4/11/2023,338.031,357.512
EUR,4/10/2023,338.4791,358.6128
EUR,4/6/2023,339.8053,359.9918
EUR,4/4/2023,340.6536,360.7484
EUR,4/3/2023,342.0515,361.9118
EUR,3/31/2023,346.7229,366.712
EUR,3/30/2023,343.977,363.9907
EUR,3/29/2023,343.0579,363.1341
EUR,3/28/2023,340.5043,360.6991
EUR,3/27/2023,338.0877,358.5614
EUR,3/24/2023,340.0548,360.556
EUR,3/23/2023,338.2864,358.1529
EUR,3/22/2023,336.0832,356.3921
EUR,3/21/2023,338.6857,359.7836
EUR,3/20/2023,353.9077,374.6582
EUR,3/17/2023,353.202,373.7844
EUR,3/16/2023,348.3534,368.3891
EUR,3/15/2023,351.6624,371.7899
EUR,3/14/2023,341.4234,361.2937
EUR,3/13/2023,333.3681,353.0302
EUR,3/10/2023,328.3984,349.7183
EUR,3/9/2023,324.2361,344.7613
EUR,3/8/2023,330.1922,349.9939
EUR,3/7/2023,339.0744,359.9271
EUR,3/3/2023,353.2467,370.7822
EUR,3/2/2023,364.8593,381.296
EUR,3/1/2023,370.6218,385.9241
EUR,2/28/2023,376.3599,390.9386
EUR,2/27/2023,375.8818,390.4237
EUR,2/24/2023,378.3493,393.1688
EUR,2/23/2023,378.7016,393.5766
EUR,2/22/2023,380.1493,394.9909
EUR,2/21/2023,381.1355,396.0427
EUR,2/20/2023,381.7114,396.6991
EUR,2/17/2023,380.7201,395.7525
EUR,2/16/2023,382.4855,397.7767
EUR,2/15/2023,383.326,398.6409
EUR,2/14/2023,383.3794,398.6989
EUR,2/13/2023,381.1763,396.4406
EUR,2/10/2023,383.6749,398.7756
EUR,2/9/2023,378.5822,399.0058
EUR,2/8/2023,384.0133,399.1778
EUR,2/7/2023,384.4542,399.4956
EUR,2/6/2023,386.3124,401.3692
EUR,2/3/2023,390.0114,405.2499
EUR,2/2/2023,394.8072,410.4174
EUR,2/1/2023,389.1447,404.8125
EUR,1/31/2023,388.9307,404.5976
EUR,1/30/2023,389.5551,405.2372
EUR,1/27/2023,390.0335,405.7231
EUR,1/26/2023,391.2274,406.9557
EUR,1/25/2023,390.5883,406.2937
EUR,1/24/2023,389.9492,405.6406
EUR,1/23/2023,390.3622,406.23
EUR,1/20/2023,388.4914,404.1311
EUR,1/19/2023,386.9407,402.5438
EUR,1/18/2023,386.5919,402.1845
EUR,1/17/2023,387.9146,403.5501
EUR,1/13/2023,388.7853,404.4347
EUR,1/12/2023,386.0419,401.6155
EUR,1/11/2023,384.8194,400.3741
EUR,1/10/2023,384.6369,400.3027
EUR,1/9/2023,382.8705,398.4584
EUR,1/5/2023,380.8715,396.3997
EUR,1/4/2023,379.1218,394.5971
EUR,1/3/2023,382.8269,398.4135
EUR,1/2/2023,383.8159,399.5679
EUR,12/30/2022,382.4055,397.984
EUR,12/29/2022,381.1006,396.7553
EUR,12/28/2022,381.5746,397.2309
EUR,12/27/2022,381.7599,397.4334
EUR,12/23/2022,380.4807,396.1161
EUR,12/22/2022,381.3069,396.9651
EUR,12/21/2022,380.6795,396.3156
EUR,12/20/2022,380.7581,396.4763
EUR,12/19/2022,380.0733,395.9222
EUR,12/16/2022,381.8224,397.5457
EUR,12/15/2022,382.1729,397.9129
EUR,12/14/2022,381.1486,396.8441
EUR,12/13/2022,378.0381,393.6498
EUR,12/12/2022,377.0093,392.5776
EUR,12/9/2022,379.3869,394.9275
EUR,12/8/2022,376.6475,392.1053
EUR,12/6/2022,376.8743,392.3357
EUR,12/5/2022,379.1991,394.7273
EUR,12/2/2022,376.9332,392.401
EUR,12/1/2022,373.9781,389.3596
EUR,11/30/2022,371.1079,386.4056
EUR,11/29/2022,371.6659,386.9802
EUR,11/28/2022,371.0516,386.4863
EUR,11/25/2022,373.0369,388.6538
EUR,11/24/2022,374.1178,389.6419
EUR,11/23/2022,369.8885,385.2983
EUR,11/22/2022,367.961,383.3119
EUR,11/21/2022,369.3487,384.6493
EUR,11/18/2022,371.8833,387.358
EUR,11/17/2022,371.7953,387.2433
EUR,11/16/2022,371.7275,387.1945
EUR,11/15/2022,369.9767,385.388
EUR,11/14/2022,370.1982,385.6768
EUR,11/11/2022,365.0902,380.3643
EUR,11/10/2022,359.2302,374.3698
EUR,11/9/2022,361.1894,376.3303
EUR,11/8/2022,358.783,373.8635
EUR,11/4/2022,349.8926,364.7649
EUR,11/3/2022,352.0053,366.9465
EUR,11/2/2022,354.1595,369.1657
EUR,11/1/2022,354.5662,369.6089
EUR,10/31/2022,356.3481,371.4353
EUR,10/28/2022,357.6055,372.7674
EUR,10/27/2022,360.2397,375.6851
EUR,10/26/2022,356.3569,371.3761
EUR,10/25/2022,353.8694,368.8872
EUR,10/21/2022,349.9535,364.8447
EUR,10/20/2022,349.2715,364.1309
EUR,10/19/2022,352.6155,367.5853
EUR,10/18/2022,351.7659,366.7008
EUR,10/17/2022,348.6505,363.4954
EUR,10/14/2022,350.0925,364.8909
EUR,10/13/2022,346.5025,361.3682
EUR,10/12/2022,346.2757,360.9345
EUR,10/11/2022,345.677,360.3244
EUR,10/7/2022,349.895,364.6177
EUR,10/6/2022,353.7982,368.6797
EUR,10/5/2022,355.6138,370.4783
EUR,10/4/2022,350.5392,365.2629
EUR,10/3/2022,350.093,364.8862
EUR,9/30/2022,349.9242,364.6306
EUR,9/29/2022,345.4707,360.0342
EUR,9/28/2022,340.9321,355.4812
EUR,9/27/2022,343.6054,358.2426
EUR,9/26/2022,344.1763,358.8689
EUR,9/23/2022,350.7933,365.4949
EUR,9/22/2022,350.3877,365.1473
EUR,9/21/2022,355.5131,370.4795
EUR,9/20/2022,357.897,372.8429
EUR,9/19/2022,356.8546,371.7836
EUR,9/16/2022,356.6349,371.6442
EUR,9/15/2022,355.5312,370.5038
EUR,9/14/2022,355.9563,370.9375
EUR,9/13/2022,360.9717,376.3756
EUR,9/12/2022,359.137,374.5768
EUR,9/9/2022,358.4673,373.7585
EUR,9/8/2022,355.6086,370.5684
EUR,9/7/2022,351.5307,366.8769
EUR,9/6/2022,353.9611,369.2443
EUR,9/5/2022,352.6868,367.8536
EUR,9/2/2022,354.2793,369.4739
EUR,9/1/2022,356.2314,371.5963
EUR,8/31/2022,356.2636,371.6946
EUR,8/30/2022,355.2945,370.532
EUR,8/29/2022,352.8195,368.0815
EUR,8/26/2022,354.5216,369.8389
EUR,8/25/2022,355.0278,370.1842
EUR,8/24/2022,353.6692,368.7722
EUR,8/23/2022,353.4529,368.5693
EUR,8/22/2022,356.8288,372.0464
EUR,8/19/2022,358.4298,373.6891
EUR,8/18/2022,361.8953,377.213
EUR,8/17/2022,361.6082,376.8346
EUR,8/16/2022,361.5401,376.5715
EUR,8/15/2022,364.3184,379.5297
EUR,8/12/2022,366.5008,381.8782
EUR,8/10/2022,363.1476,378.4089
EUR,8/9/2022,362.2814,377.3186
EUR,8/8/2022,361.744,376.7621
EUR,8/5/2022,363.456,378.5885
EUR,8/4/2022,361.5586,376.2903
EUR,8/3/2022,361.9849,376.8235
EUR,8/2/2022,365.2414,380.0447
EUR,8/1/2022,363.8068,378.5549
EUR,7/29/2022,362.5223,377.2409
EUR,7/28/2022,363.1431,377.5629
EUR,7/27/2022,360.8598,375.218
EUR,7/26/2022,363.9859,378.7477
EUR,7/25/2022,363.1987,377.6318
EUR,7/22/2022,362.8028,377.1898
EUR,7/21/2022,363.5516,377.9768
EUR,7/20/2022,364.851,379.3163
EUR,7/19/2022,360.4242,374.7586
EUR,7/18/2022,359.3852,373.6983
EUR,7/15/2022,356.65,371.2082
EUR,7/14/2022,356.9477,371.6089
EUR,7/12/2022,356.1345,370.7057
EUR,7/11/2022,361.1691,375.5521
EUR,7/8/2022,360.975,375.2507
EUR,7/7/2022,361.9959,376.9575
EUR,7/6/2022,363.8622,378.43
EUR,7/5/2022,369.4935,384.5648
EUR,7/4/2022,369.767,384.5245
EUR,7/1/2022,370.5221,385.4075
EUR,6/30/2022,370.4145,385.1851
EUR,6/29/2022,373.1221,387.9804
EUR,6/28/2022,374.972,389.8785
EUR,6/27/2022,374.6052,389.4918
EUR,6/24/2022,373.2903,388.4167
EUR,6/23/2022,375.2973,389.8979
EUR,6/22/2022,373.0293,387.4586
EUR,6/21/2022,374.2899,388.916
EUR,6/20/2022,372.9539,387.4353
EUR,6/17/2022,372.4061,387.0705
EUR,6/16/2022,369.4321,384.4144
EUR,6/15/2022,369.2455,384.3622
EUR,6/13/2022,371.1082,386.1883
EUR,6/10/2022,375.6865,391.6964
EUR,6/9/2022,379.5105,394.7449
EUR,6/8/2022,378.4127,393.5254
EUR,6/7/2022,378.539,392.8471
EUR,6/6/2022,381.8524,392.6888
EUR,6/3/2022,383.0963,393.9545
EUR,6/2/2022,379.5663,390.3626
EUR,6/1/2022,381.4224,392.2505
EUR,5/31/2022,383.2022,394.0627
EUR,5/30/2022,383.1308,393.9898
EUR,5/27/2022,381.9062,392.7431
EUR,5/26/2022,380.3922,391.2015
EUR,5/25/2022,380.2201,391.027
EUR,5/24/2022,378.8581,389.6411
EUR,5/23/2022,376.3131,387.0507
EUR,5/20/2022,375.214,385.932
EUR,5/19/2022,373.0262,383.7066
EUR,5/18/2022,374.342,385.0451
EUR,5/17/2022,371.1843,381.8332
EUR,5/13/2022,369.6165,380.2322
EUR,5/12/2022,388.1229,403.6233
EUR,5/11/2022,385.8994,401.4037
EUR,5/9/2022,385.4405,400.937
EUR,5/6/2022,385.4672,400.966
EUR,5/5/2022,384.142,399.618
EUR,5/4/2022,373.3231,385.4584
EUR,4/29/2022,369.6859,381.8163
EUR,4/28/2022,365.2308,377.279
EUR,4/27/2022,364.4263,376.4149
EUR,4/26/2022,362.9428,374.9215
EUR,4/25/2022,360.4563,372.3748
EUR,4/22/2022,359.8321,371.7859
EUR,4/21/2022,359.5836,371.531
EUR,4/20/2022,358.3018,370.2304
EUR,4/19/2022,357.422,369.3318
EUR,4/18/2022,353.3027,365.0453
EUR,4/12/2022,350.0532,361.8357
EUR,4/11/2022,347.8565,359.5515
EUR,4/8/2022,340.8309,352.4222
EUR,4/7/2022,340.5925,352.2093
EUR,4/6/2022,327.7094,339.0712
EUR,4/5/2022,324.7265,335.9982
EUR,4/4/2022,323.1897,334.502
EUR,4/1/2022,323.2672,334.5713
EUR,3/31/2022,325.7283,337.0847
EUR,3/30/2022,323.7198,335.0413
EUR,3/29/2022,320.3466,331.6067
EUR,3/28/2022,319.5051,330.7549
EUR,3/25/2022,317.3,328.5087
EUR,3/24/2022,310.4519,321.5399
